,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
28,RELIANCE.NS,Long Closed,2003-06-06,44.99,2004-03-16,77.12,1111.0,49979.264,35696.43,71.422,Exit Trigger,284 days
29,RELIANCE.NS,Long Closed,2004-04-27,79.97,2004-05-10,75.65,625.0,49984.264,-2700.0,-5.402,Exit Trigger,13 days
30,RELIANCE.NS,Long Closed,2004-07-30,67.85,2004-12-01,74.69,736.0,49937.649,5034.24,10.081,Exit Trigger,124 days
31,RELIANCE.NS,Long Closed,2005-01-18,73.28,2005-04-19,74.83,682.0,49974.867,1057.1,2.115,Exit Trigger,91 days
32,RELIANCE.NS,Long Closed,2005-06-16,82.4,2006-06-13,203.44,606.0,49935.991,73350.24,146.889,Exit Trigger,362 days
33,RELIANCE.NS,Long Closed,2006-07-12,236.86,2006-08-21,241.16,211.0,49977.016,907.3,1.815,Exit Trigger,40 days
34,RELIANCE.NS,Long Closed,2006-08-22,246.87,2007-01-09,295.97,202.0,49867.705,9918.2,19.889,Exit Trigger,140 days
35,RELIANCE.NS,Long Closed,2007-01-12,299.15,2007-03-19,297.41,167.0,49957.519,-290.58,-0.582,Exit Trigger,66 days
36,RELIANCE.NS,Long Closed,2007-04-17,334.87,2008-01-31,565.06,149.0,49896.28,34298.31,68.739,Exit Trigger,289 days
37,RELIANCE.NS,Long Closed,2008-04-23,597.06,2008-06-09,498.77,83.0,49555.919,-8158.07,-16.462,Exit Trigger,47 days
38,RELIANCE.NS,Long Closed,2008-08-12,534.88,2008-09-15,431.95,93.0,49744.272,-9572.49,-19.243,Exit Trigger,34 days
39,RELIANCE.NS,Long Closed,2008-12-31,286.64,2009-02-05,303.79,174.0,49875.936,2984.1,5.983,Exit Trigger,36 days
40,RELIANCE.NS,Long Closed,2009-02-10,317.48,2009-03-19,305.84,157.0,49844.232,-1827.48,-3.666,Exit Trigger,37 days
41,RELIANCE.NS,Long Closed,2009-03-24,331.46,2009-07-08,424.12,150.0,49718.555,13899.0,27.955,Exit Trigger,106 days
42,RELIANCE.NS,Long Closed,2009-08-25,449.21,2009-11-06,441.17,111.0,49862.495,-892.44,-1.79,Exit Trigger,73 days
43,RELIANCE.NS,Long Closed,2009-12-03,505.12,2010-02-05,445.74,98.0,49502.065,-5819.24,-11.756,Exit Trigger,64 days
44,RELIANCE.NS,Long Closed,2010-03-29,504.57,2010-05-12,491.93,99.0,49952.875,-1251.36,-2.505,Exit Trigger,44 days
45,RELIANCE.NS,Long Closed,2010-06-25,480.02,2010-08-05,466.29,104.0,49922.568,-1427.92,-2.86,Exit Trigger,41 days
46,RELIANCE.NS,Long Closed,2010-10-04,464.0,2010-12-01,450.31,107.0,49648.108,-1464.83,-2.95,Exit Trigger,58 days
47,RELIANCE.NS,Long Closed,2011-01-05,493.74,2011-01-27,441.62,101.0,49867.705,-5264.12,-10.556,Exit Trigger,22 days
48,RELIANCE.NS,Long Closed,2011-03-16,477.74,2011-05-06,435.68,104.0,49684.838,-4374.24,-8.804,Exit Trigger,51 days
49,RELIANCE.NS,Long Closed,2011-09-28,365.62,2011-12-02,364.36,136.0,49724.157,-171.36,-0.345,Exit Trigger,65 days
50,RELIANCE.NS,Long Closed,2012-02-02,381.73,2012-03-22,350.14,130.0,49625.409,-4106.7,-8.275,Exit Trigger,49 days
51,RELIANCE.NS,Long Closed,2012-06-26,328.02,2012-11-07,366.65,152.0,49858.565,5871.76,11.777,Exit Trigger,134 days
52,RELIANCE.NS,Long Closed,2012-12-20,384.91,2013-02-28,382.74,129.0,49653.548,-279.93,-0.564,Exit Trigger,70 days
53,RELIANCE.NS,Long Closed,2013-05-21,379.95,2013-06-25,365.6,131.0,49773.576,-1879.85,-3.777,Exit Trigger,35 days
54,RELIANCE.NS,Long Closed,2013-07-03,393.39,2013-08-23,372.0,127.0,49960.741,-2716.53,-5.437,Exit Trigger,51 days
55,RELIANCE.NS,Long Closed,2013-09-26,387.06,2013-12-02,389.96,129.0,49930.728,374.1,0.749,Exit Trigger,67 days
56,RELIANCE.NS,Long Closed,2014-01-02,405.83,2014-01-10,387.84,123.0,49916.668,-2212.77,-4.433,Exit Trigger,8 days
57,RELIANCE.NS,Long Closed,2014-01-13,396.93,2014-01-29,388.5,125.0,49616.837,-1053.75,-2.124,Exit Trigger,16 days
58,RELIANCE.NS,Long Closed,2014-03-21,414.65,2014-07-09,458.08,120.0,49757.985,5211.6,10.474,Exit Trigger,110 days
59,RELIANCE.NS,Long Closed,2014-09-09,471.84,2014-09-30,424.25,105.0,49543.347,-4996.95,-10.086,Exit Trigger,21 days
60,RELIANCE.NS,Long Closed,2014-11-25,450.35,2014-12-17,395.56,111.0,49989.359,-6081.69,-12.166,Exit Trigger,22 days
61,RELIANCE.NS,Long Closed,2015-02-12,415.11,2015-03-10,397.25,120.0,49812.847,-2143.2,-4.303,Exit Trigger,26 days
62,RELIANCE.NS,Long Closed,2015-04-28,399.88,2015-08-20,438.86,125.0,49985.428,4872.5,9.748,Exit Trigger,114 days
63,RELIANCE.NS,Long Closed,2015-10-23,440.69,2016-02-15,419.68,113.0,49797.463,-2374.13,-4.768,Exit Trigger,115 days
